State,adh_APRavg,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,AdhSEPavg,Pop_2019,PopDensity,Age,NHBlack,NHispanic,NHWhite,tot_cases_Apr,tot_cases_Aug,tot_Cases_Jul,tot_cases_Jun,tot_cases_May,tot_cases_Sep,zcase_rate_Aug,zcase_rate_Jul,zcase_rate_Jun,zcase_rate_May,zcase_rate_Sep,zMaskPolStart
South Carolina,17.87,71.2,58.53333333,29.43,27.23,60.9,5148714,173,39.7,26.8,5.7,63.6,6095,118992,89016,36399,11861,147942,582.2036338,1021.944509,476.5850269,111.9891297,562.2763276,0
South Dakota,21.47,33.66666667,33.8,30.5,24.6,37.5,884659,12,37.2,1.9,3.6,82.3,2449,13509,8764,6764,4993,22389,536.3648592,226.07581,200.1901298,287.5684303,1003.776596,0
Tennessee,17.47,57.53333333,50.96666667,24.53,22.47,55,6829174,167,38.9,16.6,5.4,73.9,10735,154933,105959,43509,23159,196139,717.1291872,914.4590546,297.9862572,181.925369,603.3819024,0
Texas,32.4,69.13333333,66,42.47,43.77,67.93,28995881,106.86,34.9,11.8,39.4,41.9,28087,612969,420946,159986,64287,748967,662.2423371,899.9898986,330.0434293,124.8453185,469.0252384,7/3/2020
Utah,21.23,54.4,57.7,34,27.93,54.3,3205958,37.23,31,1.2,14,78.3,4753,52792,40797,22746,9944,73042,374.1471348,563.0454298,399.3190179,161.9172803,631.6364718,4/10/2020
Vermont,21.63,72.53333333,76.6,55.2,45.8,69.37,623989,65.13,43.1,1.2,1.9,92.8,866,1629,1414,1208,981,1755,34.4557356,33.01340248,36.37884642,18.42981206,20.19266365,8/1/2020
Virginia,25.03,79.43333333,77.13333333,49.7,40.57,64.8,8535519,199.13,38.3,18.8,9.3,61.7,16901,121615,90801,62787,45398,148721,361.0090962,328.2049984,203.7251631,333.8637053,317.5670981,5/29/2020
Washington,22.53,62.93333333,63.6,42.8,35.4,66.7,7614893,105.69,37.7,3.5,12.7,68.6,14327,74635,55803,32824,21702,87522,247.3048538,301.763925,146.0558934,96.84968653,169.2341573,6/26/2020
West Virginia,22.57,63.06666667,60.4,39.87,36.3,58.4,1792147,74.53,42.8,3.9,1.3,92,1125,10250,6642,2905,2010,15848,201.322771,208.5208412,49.94009978,49.38210984,312.3627693,7/7/2020
Wisconsin,22.47,59.66666667,60.43333333,31.07,29.57,59.33,5822434,88.76,39.6,6.3,6.9,81.2,6854,80568,56934,31662,18403,129123,405.9127162,434.0452807,227.7226328,198.3534721,833.9295903,8/1/2020
Wyoming,20.83,34.76666667,36.63333333,34,27.93,31.6,578759,5.91,38.5,0.9,10, ,559,3842,2726,1487,903,5948,192.8263751,214.0787443,100.9055583,59.43752063,363.8820303,0
